track_label,release_code,target,campaign_year,comparison,metric,n_pairs,candidate_mean,reference_mean,mean_delta,ci_low,ci_high,win_rate,tie_rate,p_value
M87 2017 (2019-D01-01),2019-D01-01,M87,2017,EMC vs Baseline 3D U-Net,heldout_visibility_rmse,32,0.42348573240451515,0.3408780025783926,-0.08260772982612252,-0.14417550000362098,-0.020116361719556147,0.3125,0.0,0.015625
M87 2017 (2019-D01-01),2019-D01-01,M87,2017,EMC vs Residual Refinement,heldout_visibility_rmse,32,0.42348573240451515,0.4845845920499414,0.06109885964542627,0.04791392795741558,0.07349340547225439,0.875,0.0,0.0
M87 2017 (2019-D01-01),2019-D01-01,M87,2017,EMC vs CCRR,heldout_visibility_rmse,32,0.42348573240451515,0.5285563773941249,0.10507064498960972,0.07576444214209914,0.13288066040840932,0.90625,0.0,0.0
M87 2017 (2019-D01-01),2019-D01-01,M87,2017,EMC-TTO vs EMC,heldout_visibility_rmse,32,0.35392195964232087,0.42348573240451515,0.06956377276219428,0.007138965756166727,0.1313321496360004,0.65625,0.03125,0.04150390625
M87 2017 (2019-D01-01),2019-D01-01,M87,2017,EMC-TTO vs Baseline 3D U-Net,heldout_visibility_rmse,32,0.35392195964232087,0.3408780025783926,-0.013043957063928246,-0.03235340648679994,-0.0009227522648870943,0.4375,0.0,0.03759765625
M87 2017 (2019-D01-01),2019-D01-01,M87,2017,EMC-TTO vs Residual Refinement,heldout_visibility_rmse,32,0.35392195964232087,0.4845845920499414,0.13066263240762055,0.06482334774336777,0.19731147804413923,0.78125,0.0,0.00048828125
M87 2017 (2019-D01-01),2019-D01-01,M87,2017,EMC-TTO vs CCRR,heldout_visibility_rmse,32,0.35392195964232087,0.5285563773941249,0.174634417751804,0.1106310419156216,0.24128224920714275,0.78125,0.0,0.0
M87 2018 (2024-D01-01),2024-D01-01,M87,2018,EMC vs Baseline 3D U-Net,heldout_visibility_rmse,48,0.30461996669570607,0.41361907714356977,0.10899911044786374,0.050977415234471364,0.17256441609933976,0.6458333333333334,0.0,0.0
M87 2018 (2024-D01-01),2024-D01-01,M87,2018,EMC vs Residual Refinement,heldout_visibility_rmse,48,0.30461996669570607,0.3648764581109087,0.06025649141520262,0.0423345182207413,0.07936584470250334,0.8541666666666666,0.0,0.0
M87 2018 (2024-D01-01),2024-D01-01,M87,2018,EMC vs CCRR,heldout_visibility_rmse,48,0.30461996669570607,0.4387414255179465,0.13412145882224044,0.09920401725297173,0.17179022460089377,0.8958333333333334,0.0,0.0
M87 2018 (2024-D01-01),2024-D01-01,M87,2018,EMC-TTO vs EMC,heldout_visibility_rmse,48,0.38788497044394415,0.30461996669570607,-0.08326500374823809,-0.13484229144329826,-0.03536341883009298,0.3541666666666667,0.020833333333333332,0.0
M87 2018 (2024-D01-01),2024-D01-01,M87,2018,EMC-TTO vs Baseline 3D U-Net,heldout_visibility_rmse,48,0.38788497044394415,0.41361907714356977,0.025734106699625652,0.007141731563024224,0.04819664338137954,0.7916666666666666,0.0,0.00537109375
M87 2018 (2024-D01-01),2024-D01-01,M87,2018,EMC-TTO vs Residual Refinement,heldout_visibility_rmse,48,0.38788497044394415,0.3648764581109087,-0.02300851233303547,-0.06015279356312628,0.015019654866773641,0.4791666666666667,0.0,0.2451171875
M87 2018 (2024-D01-01),2024-D01-01,M87,2018,EMC-TTO vs CCRR,heldout_visibility_rmse,48,0.38788497044394415,0.4387414255179465,0.05085645507400235,0.020615869667381048,0.08615887967559199,0.6875,0.0,0.0009765625
3C279 2017 (2020-D01-01),2020-D01-01,3C279,2017,EMC vs Baseline 3D U-Net,heldout_visibility_rmse,32,0.5782058546319604,0.3596842612605542,-0.2185215933714062,-0.26004573177197016,-0.17531361861620098,0.09375,0.0,0.0
3C279 2017 (2020-D01-01),2020-D01-01,3C279,2017,EMC vs Residual Refinement,heldout_visibility_rmse,32,0.5782058546319604,0.6336399505380541,0.05543409590609372,0.04132674491847865,0.0690590737562161,0.90625,0.0,0.0
3C279 2017 (2020-D01-01),2020-D01-01,3C279,2017,EMC vs CCRR,heldout_visibility_rmse,32,0.5782058546319604,0.6669880172703415,0.08878216263838112,0.06507354563218541,0.11293309410684742,0.875,0.0,0.0
3C279 2017 (2020-D01-01),2020-D01-01,3C279,2017,EMC-TTO vs EMC,heldout_visibility_rmse,32,0.3506696349941194,0.5782058546319604,0.227536219637841,0.18251160103827715,0.26993088382296265,0.9375,0.0,0.0
