cohort,comparison,metric,n_pairs,candidate_mean,reference_mean,mean_delta,ci_low,ci_high,win_rate,tie_rate,p_value
Synthetic benchmark breadth,EMC vs CCRR,heldout_visibility_rmse,768,0.07140285387868062,0.0980436013439127,0.026640747465232078,0.02484046178700131,0.028423166320862947,0.8567708333333334,0.0,0.0
Synthetic benchmark breadth,EMC vs Residual Refinement,heldout_visibility_rmse,768,0.07140285387868062,0.09537248790729791,0.023969634028617293,0.02221852849397692,0.025705489190295337,0.82421875,0.0,0.0
Synthetic benchmark breadth,EMC vs Baseline 3D U-Net,heldout_visibility_rmse,768,0.07140285387868062,0.0994471479158771,0.028044294037196476,0.026181827639932938,0.02991192496616956,0.8736979166666666,0.0,0.0
Public EHT baseline-track suite,EMC vs CCRR,heldout_visibility_rmse,120,0.3992855548237761,0.5100938339407245,0.11080827911694845,0.09287726443260907,0.12944996842183173,0.8916666666666667,0.0,0.0
Public EHT baseline-track suite,EMC vs Residual Refinement,heldout_visibility_rmse,120,0.3992855548237761,0.45467069062093896,0.05538513579716285,0.04619029427878559,0.06486046285058061,0.8583333333333333,0.0,0.0
Public EHT baseline-track suite,EMC vs Baseline 3D U-Net,heldout_visibility_rmse,120,0.3992855548237761,0.37510212026536466,-0.02418343455841144,-0.06482568148213128,0.01572995210221658,0.425,0.0,0.25390625
Public EHT baseline-track suite,EMC vs eht-imaging bridge,heldout_visibility_rmse,120,0.3992855548237761,0.37508553980539244,-0.02420001501838366,-0.06484524199894319,0.015697782075343034,0.425,0.0,0.2529296875
Public EHT baseline-track suite,EMC vs Tikhonov,heldout_visibility_rmse,120,0.3992855548237761,0.37477860239644845,-0.024506952427327634,-0.06522227828235677,0.015375228513342642,0.4,0.0,0.2470703125
Public EHT baseline-track suite,EMC vs Tikhonov,heldout_reduced_chi2,120,15430204.628316363,7639982.985483238,-7790221.642833126,-12532577.727712208,-3808916.790162481,0.44166666666666665,0.0,0.0
Public EHT baseline-track suite,EMC-TTO vs EMC,heldout_visibility_rmse,120,0.36577871882667146,0.3992855548237761,0.03350683599710465,-0.003409337812724212,0.07191317358054221,0.5833333333333334,0.016666666666666666,0.08251953125
Public EHT baseline-track suite,EMC-TTO vs CCRR,heldout_visibility_rmse,120,0.36577871882667146,0.5100938339407245,0.1443151151140531,0.11025601065717637,0.18092448931653055,0.75,0.0,0.0
Public EHT baseline-track suite,EMC-TTO vs Residual Refinement,heldout_visibility_rmse,120,0.36577871882667146,0.45467069062093896,0.0888919717942675,0.05241355864641567,0.12729293319086232,0.675,0.0,0.0
Public EHT baseline-track suite,EMC-TTO vs Baseline 3D U-Net,heldout_visibility_rmse,120,0.36577871882667146,0.37510212026536466,0.009323401438693205,-0.00031914039359738427,0.019758014640149976,0.6666666666666666,0.0,0.06591796875
Public EHT baseline-track suite,EMC-TTO vs eht-imaging bridge,heldout_visibility_rmse,120,0.36577871882667146,0.37508553980539244,0.009306820978720983,-0.0003365940631677706,0.019731110439946256,0.65,0.0,0.06640625
Public EHT baseline-track suite,EMC-TTO vs Tikhonov,heldout_visibility_rmse,120,0.36577871882667146,0.37477860239644845,0.008999883569777012,-0.000651760248777767,0.01944626355543733,0.6333333333333333,0.0,0.07763671875
Public EHT baseline-track suite,EMC-TTO vs Tikhonov,heldout_reduced_chi2,120,6933615.825342585,7639982.985483238,706367.1601406514,306642.1479899352,1201533.4554541758,0.6166666666666667,0.0,0.00146484375
Public EHT station-dropout suite,EMC vs CCRR,heldout_visibility_rmse,120,0.3718529668326179,0.46526891545703014,0.09341594862441222,0.0736093842626239,0.11268831169077506,0.8333333333333334,0.0,0.0
Public EHT station-dropout suite,EMC vs Baseline 3D U-Net,heldout_visibility_rmse,120,0.3718529668326179,0.3695020983926952,-0.00235086843992273,-0.043242153208702803,0.0391807647747919,0.38333333333333336,0.0,0.916015625
Public EHT station-dropout suite,EMC vs eht-imaging bridge,heldout_visibility_rmse,120,0.3718529668326179,0.36950300820171833,-0.0023499586308995883,-0.04324006786104291,0.039179702584321296,0.38333333333333336,0.0,0.91552734375
Public EHT station-dropout suite,EMC vs Tikhonov,heldout_visibility_rmse,120,0.3718529668326179,0.36950192038590707,-0.002351046446710825,-0.04324495465805133,0.03916811689734459,0.38333333333333336,0.0,0.9169921875
Public EHT station-dropout suite,EMC-TTO vs EMC,heldout_visibility_rmse,120,0.3531333024303118,0.3718529668326179,0.01871966440230608,-0.01883526614867151,0.055916071661437576,0.625,0.008333333333333333,0.31689453125
Public EHT station-dropout suite,EMC-TTO vs CCRR,heldout_visibility_rmse,120,0.3531333024303118,0.46526891545703014,0.1121356130267183,0.076502438558576,0.14864989481400698,0.6916666666666667,0.0,0.0
Public EHT station-dropout suite,EMC-TTO vs Baseline 3D U-Net,heldout_visibility_rmse,120,0.3531333024303118,0.3695020983926952,0.01636879596238335,0.006412690210466584,0.02723812917713076,0.6333333333333333,0.0,0.00244140625
Public EHT station-dropout suite,EMC-TTO vs eht-imaging bridge,heldout_visibility_rmse,120,0.3531333024303118,0.36950300820171833,0.016369705771406493,0.006416635072479645,0.0272390983082975,0.6333333333333333,0.0,0.00244140625
Public EHT station-dropout suite,EMC-TTO vs Tikhonov,heldout_visibility_rmse,120,0.3531333024303118,0.36950192038590707,0.016368617955595254,0.006409307438880205,0.027245459952391686,0.6333333333333333,0.0,0.00244140625
